fit,medium,batch,state,n,sse,wsse,rmse,weighted_rmse,mean_bias
best_multistart_07,natural,LAB009,Xd,12,0.005478498342911511,1.5218050952531976,0.02136683244133204,0.3561138740222006,-0.0013591315375671733
best_multistart_07,natural,LAB009,N,12,0.004857172823308619,33.18472978954255,0.020118757465171274,1.6629474282515804,-0.0022474187366226007
best_multistart_07,natural,LAB009,G,12,842.3112617827202,134.76980188523527,8.3781027177136,3.35124108708544,5.522012018232689
best_multistart_07,natural,LAB009,F,12,1076.5588703287156,172.24941925259452,9.471707300907246,3.788682920362898,6.396983091525335
best_multistart_07,natural,LAB009,E,5,297.6113707718589,74.28073857469428,7.715067994150912,3.8543673559922724,-5.863557275964712
best_multistart_07,natural,LAB009,Gly,12,12.891033718212256,105.2329283119368,1.036461677946185,2.9613190798462434,-0.8297204658141871
best_multistart_07,natural,LAB010,X,9,5.8248390326935136,622.9596078812192,0.8044901099242587,8.319719599182676,0.10448656967511694
best_multistart_07,natural,LAB010,Xd,9,0.07872353999999987,21.867649999999962,0.09352571838804546,1.558761973134091,0.08793333333333325
best_multistart_07,natural,LAB010,N,4,0.0236446244,160.80555555555554,0.0768840432079375,6.3404565205424195,-0.046904999999999995
best_multistart_07,natural,LAB010,G,4,2173.8126021992493,347.81001635188,23.312081643427135,9.324832657370855,-11.793113344316419
best_multistart_07,natural,LAB010,F,4,2535.4374843463274,405.6699974954123,25.176563925337028,10.07062557013481,-16.55990089907445
best_multistart_07,natural,LAB010,E,4,1757.3088980418165,439.32598865208075,20.96013417205277,10.480052345433213,10.671758328299
best_multistart_07,natural,LAB010,Gly,4,11.406103062272567,93.11104540630669,1.6886461339096897,4.824703239741972,1.1047937215443835
best_multistart_07,natural,LAB011,X,7,4.63721969897407,921.8716342399355,0.813916431211642,11.475885488648021,0.3989651948262523
best_multistart_07,natural,LAB011,Xd,7,0.06893037190166745,19.147325528240962,0.09923303878221452,1.6538839797035756,0.06667989939456437
best_multistart_07,natural,LAB011,N,4,0.04774221657323809,205.174136336117,0.1092499617542703,7.16195043853483,-0.08142998264137727
best_multistart_07,natural,LAB011,G,4,2216.6271263577564,354.66034021724107,23.540534862008535,9.416213944803413,-15.137727861610378
best_multistart_07,natural,LAB011,F,4,2998.6653185864716,479.7864509738354,27.3800352382282,10.952014095291279,-18.535670660651096
best_multistart_07,natural,LAB011,E,4,1890.2939874447052,472.3795691735449,21.738755641967558,10.867147385279461,12.681885368392537
best_multistart_07,natural,LAB011,Gly,4,10.972243150000509,89.56933183673888,1.6562188223481,4.73205377813743,1.1490994848837872
best_multistart_07,natural,LAB012,X,8,3.5605886601945897,179.22723310972867,0.6671383533603233,4.733223440607477,0.005643158841452056
