profiled_theta,theta_value,theta_hat,objective,lr_stat,success,status,error,estimated_betaG0,estimated_betaF0,estimated_Kn0,estimated_Kg0,estimated_Kf0,estimated_Kig0,estimated_Kie0,estimated_Kd0,estimated_Yxn,estimated_Yxg,estimated_Yxf,estimated_Yeg,estimated_Yef,estimated_mu0,lr_stat_rebased
Yxf,0.4305667670547193,0.0738056894062923,3698.8862273639647,45.580957432647665,True,optimal,,2.0,1.5628593420475472,0.8323303144611717,0.001,2.0228471266553267,73.12847647760601,6.292704855516911,0.0016380293212539315,8.056472536250014,1.1093867598664293,,0.7253922968123026,0.6297842918215385,1.0,45.580957432647665
Yxf,0.5021612282305058,0.0738056894062923,3700.066451583932,47.941405872582436,True,optimal,,2.0,1.5835172187866506,0.8324026677312342,0.001,2.109086689281871,74.17142093276217,6.254455847335019,0.0016437985341067349,8.053500286169701,1.0790547242221873,,0.7219057118046966,0.6278597610554233,1.0,47.941405872582436
Yxf,0.5737556894062924,0.0738056894062923,3700.9678582900156,49.744219284749306,True,optimal,,2.0,1.5992800298531877,0.8324671113866269,0.001,2.1747329330958065,74.95750230516059,6.2258078824746494,0.001648053584539947,8.051054113346071,1.0567842468982762,,0.7192883098084114,0.6264474049496255,1.0,49.744219284749306
betaG0,1.0,2.0,3695.5961888051793,39.000880315076756,True,optimal,,,0.5016345527794412,0.8221659372742284,0.001,0.038499254604017076,65.21400143646643,17.62935944814777,0.0016195818138268305,8.173946574354126,1.6737772703622913,0.08091380900002779,0.8260809130858914,0.7321094013928944,1.0,39.000880315076756
betaG0,1.125,2.0,3688.625107875601,25.058718455919916,True,optimal,,,0.5705396115682408,0.8263498654176304,0.001,0.038944586313648916,57.69921464865768,15.23905361150578,0.0015812125479449767,8.1148535784892,2.036189202340165,0.07911768032381729,0.8289722278846029,0.728809020524413,1.0,25.058718455919916
betaG0,1.25,2.0,3683.694961482078,15.198425668873824,True,optimal,,,0.6438751811333053,0.8294383897389751,0.001,0.039426579240484934,52.789538803202674,13.362554637506232,0.0015568746886573755,8.074517848719397,2.4782110651789107,0.07798724177206358,0.82931934621977,0.7283832512413017,1.0,15.198425668873824
betaG0,1.375,2.0,3680.1035299012897,8.015562507297545,True,optimal,,,0.7202216514486931,0.8317881949821285,0.001,0.03985180393268743,49.39535962476433,11.866476643432993,0.0015409073607680513,8.045938193485606,2.9993152527383984,0.07725949002774621,0.8284606708404378,0.7293375897387859,1.0,8.015562507297545
betaG0,1.5,2.0,3677.419436483206,2.6473756711302485,True,optimal,,,0.7987655505286152,0.8335999908442315,0.001,0.040214739676969695,46.931765532232326,10.652919020843152,0.0015302405681290431,8.025501105239142,3.531377312833723,0.07678903367975229,0.8271460508353978,0.7309598953050364,1.0,2.6473756711302485
betaG0,1.625,2.0,3675.367106709364,-1.457283876553447,True,optimal,,,0.8785338232411429,0.8350214890520857,0.001,0.040598235656444374,45.07048656129672,9.652219042907225,0.0015221701614234516,8.01060041621392,3.3620417230911857,0.0764959702197474,0.8268875900450957,0.732505159133962,1.0,-1.457283876553447
betaG0,1.75,2.0,3676.174660431643,0.15782356800445996,True,optimal,,,0.9326131658757956,0.8380065840629968,0.001,0.0488108088448806,43.679792946700516,8.932287633599927,0.0014394993912847415,7.956391089799356,2.230794798404182,0.0746987571566301,0.8356606221173434,0.7321953343462495,1.0,0.15782356800445996
betaG0,1.875,2.0,3677.757214077075,3.3229308588679487,True,optimal,,,0.9826846693562211,0.8412301538032401,0.001,0.059031328885901665,42.660038688208864,8.339561052266797,0.0013438611121534088,7.895157009680993,2.8351154551985736,0.07275969272773272,0.8388249543917147,0.7337324758714908,1.0,3.3229308588679487
