sample_id,analyte,station,value_raw,unit,analysis_datetime_raw,source_file,session_datetime,value,analysis_datetime,source_kind,process,analyte_canonical,analyte_priority,is_numeric
DOE-LAB001-2,GLYCEROL,ST1,"1,20",g/L,16-06-2026 09:38:21,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt,2026-06-16 09:10:00,1.2,2026-06-16 09:38:21,EXPAuto,F1,glycerol_g_l,0,True
DOE-LAB001-2,PAN,ST1,74,mg/L,16-06-2026 09:24:19,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt,2026-06-16 09:10:00,74.0,2026-06-16 09:24:19,EXPAuto,F1,pan_mg_l,0,True
DOE-LAB001-2,PYRUVIC ACID,ST1,41,mg/L,16-06-2026 09:35:32,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt,2026-06-16 09:10:00,41.0,2026-06-16 09:35:32,EXPAuto,F1,pyruvic_acid_mg_l,0,True
DOE-LAB001-2,GLU-FRU-320,ST1,"229,83",g/L,16-06-2026 09:35:56,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt,2026-06-16 09:10:00,229.83,2026-06-16 09:35:56,EXPAuto,F1,sugar_total_g_l,0,True
DOE-LAB001-2,GLUCOSE-320,ST1,"97,54",g/L,16-06-2026 09:35:32,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt,2026-06-16 09:10:00,97.54,2026-06-16 09:35:32,EXPAuto,F1,glucose_g_l,0,True
DOE-LAB001-2,ACETALDEHID-1000,ST1,64,mg/L,16-06-2026 09:37:56,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt,2026-06-16 09:10:00,64.0,2026-06-16 09:37:56,EXPAuto,F1,acetaldehyde_mg_l,0,True
DOE-LAB001-3,ACETIC ACID,ST1,"0,31",g/L,16-06-2026 12:52:26,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt,2026-06-16 09:10:00,0.31,2026-06-16 12:52:26,EXPAuto,F1,acetic_acid_g_l,0,True
DOE-LAB001-3,AMMONIA,ST1,207,mg/L,16-06-2026 12:44:01,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt,2026-06-16 09:10:00,207.0,2026-06-16 12:44:01,EXPAuto,F1,ammonia_mg_l,0,True
DOE-LAB001-3,GLYCEROL,ST1,"1,59",g/L,16-06-2026 12:52:27,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt,2026-06-16 09:10:00,1.59,2026-06-16 12:52:27,EXPAuto,F1,glycerol_g_l,0,True
DOE-LAB001-3,PAN,ST1,63,mg/L,16-06-2026 12:42:25,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt,2026-06-16 09:10:00,63.0,2026-06-16 12:42:25,EXPAuto,F1,pan_mg_l,0,True
DOE-LAB001-3,PYRUVIC ACID,ST1,53,mg/L,16-06-2026 13:10:19,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt,2026-06-16 09:10:00,53.0,2026-06-16 13:10:19,EXPAuto,F1,pyruvic_acid_mg_l,0,True
DOE-LAB001-3,GLU-FRU-320,ST1,"217,23",g/L,16-06-2026 12:50:02,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt,2026-06-16 09:10:00,217.23,2026-06-16 12:50:02,EXPAuto,F1,sugar_total_g_l,0,True
DOE-LAB001-3,GLUCOSE-320,ST1,"93,40",g/L,16-06-2026 12:49:38,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt,2026-06-16 09:10:00,93.4,2026-06-16 12:49:38,EXPAuto,F1,glucose_g_l,0,True
