batch,state,t,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0
25150,X,30.0,55.962943769062896,0.02343426459655204,-1042.251052594324,-7.894919286223338e-13,-5.526443500356336e-13,-2.4276876805136758e-12,6.957397620984314e-12,-1.4802973661668755e-12,2.3684757858670005e-12,4.061935972761908e-13,-3.3172477110888914e-12,-1.6425749649329199e-13,-2.309263891220327e-11,0.0,4.818367926873179e-10
25150,X,48.0,53.43428910942776,3.293765287675716e-07,-1095.9593104833998,3.947459643111669e-14,0.0,0.0,0.0,0.0,-1.4802973661668753e-13,-2.711632400102342e-10,0.0,0.0,4.980371670626485e-09,0.0,0.0
25150,X,54.0,53.43428449255154,5.868887598126095e-09,-1095.959436652868,3.947459643111669e-14,0.0,0.0,0.0,0.0,0.0,-3.7269229677703063e-10,-4.158648734018144e-12,0.0,6.8453687163128085e-09,0.0,0.0
25150,X,72.0,53.434284444439655,-1.5992145879156149e-12,-1095.959438236889,-1.851358572619373e-11,-1.851358572619373e-11,9.52719384865001e-11,-6.957397620984314e-11,1.0283132370305894e-11,-6.957397620984314e-11,-5.2060479384231784e-11,-5.148987409281999e-11,7.720102335184722e-11,9.560352509652152e-10,0.0,-1.942934702015009e-08
25150,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25150,N,6.0,-9.01011545361752,-0.020541757136046463,-318.07472624753245,4.664633474051657e-14,0.0,0.0,0.0,-2.3323167370258277e-14,1.7492375527693707e-13,0.0,-2.285670402285312e-14,-3.881995438983428e-13,-2.0990850633232462e-13,0.0,0.0
25150,N,24.0,-8.45069389358474,-0.029827155042391636,-92.96808197861513,1.0147764353003317e-11,8.205381820448993e-12,1.8913631039318823e-11,-6.250517749106678e-11,1.0634635471857455e-11,-1.4144225524346084e-11,2.9999424029994727e-14,3.7134822749129004e-11,5.580368443538678e-13,1.7309908185470462e-10,0.0,-3.709919661097092e-09
25150,N,30.0,-18.173742966928284,-0.09000889143891544,-62.65411651958706,2.9503806723376733e-12,2.1807161491191494e-12,9.247635862307408e-12,-2.7419298639659888e-11,5.676275858736609e-12,-9.708268417870008e-12,-1.6071120016068603e-12,1.2752612300750613e-11,9.947613312395034e-13,8.902744524819718e-11,0.0,-1.8508682545852713e-09
25150,N,48.0,-3.366174659211792e-05,-1.2651054662936874e-06,-0.00022167184410243075,5.944363097859885e-18,4.248356788367589e-18,2.090258267993948e-17,-6.072258655624875e-17,1.2986959789571335e-17,-2.2854380104961756e-17,1.0414852086650265e-09,2.6878113369159056e-17,2.452680567099114e-18,-1.9129322566370376e-08,0.0,-4.218009396780524e-15
25150,N,54.0,-3.6456128765854804e-07,-2.254186711645525e-08,-2.9453089881868457e-06,5.065428680502095e-20,2.9541093505501066e-20,2.8329039816084177e-19,-7.741504209823953e-19,1.654301236308059e-19,-3.2223685452507954e-19,1.4314475311503595e-09,1.599510727586774e-11,4.0492367853051414e-20,-2.6291896542815444e-08,0.0,-4.927975710132379e-17
