batch,state,t,mu0,betaG0,betaF0,Kn0,Kg0,Kf0,Kig0,Kie0,Kd0,Yxn,Yxg,Yxf,Yeg,Yef,m0
25170,G,252.0,-1.440736589547348e-13,-7.36686185303444e-12,2.712393739072425e-12,5.034880415713533e-10,1.9707466598529126e-13,5.0141380745231505e-12,1.3062227310560522e-14,-1.2338842509985786e-14,0.0,-5.101265419810471e-12,3.0186412510352626e-11,-3.7304039734747565e-13,7.781640310261419e-12,-1.6477830613766847e-12,1.59971828033057e-11
25170,G,276.0,1.895607201451296e-12,7.033238989581324e-13,-5.8941726505836785e-12,3.57089803222994e-10,1.4153765973583539e-13,1.7353748583881289e-12,8.083696386634363e-14,-3.947579475151095e-15,0.0,-2.499919178144483e-13,5.221681749536662e-12,-6.251622492511839e-13,1.3245755603120779e-12,-2.7566790986274576e-12,-3.971224194477752e-11
25170,G,300.0,2.8414350056897247e-13,-1.0615056357414686e-12,3.539861138717404e-13,4.373232935661019e-10,7.732444066292321e-14,1.2042464804566026e-12,1.2887985533964647e-14,-9.99133964039763e-15,0.0,-3.8771999627977894e-14,2.6430475890874714e-12,9.735530717602708e-15,4.960769708585382e-13,-1.5060547050536235e-12,-2.3854224510366485e-11
25170,G,324.0,-4.187545045720841e-12,-7.674853957924362e-13,3.845361756902378e-12,4.404946463376631e-10,6.918011699154347e-14,9.562921966119749e-13,-1.0404644923627265e-14,2.667753531804025e-15,0.0,-1.9705034880413865e-14,1.7189373546561938e-12,6.184013394752488e-13,-2.948797130152658e-13,-9.69712865448058e-13,-7.143439276362906e-11
25170,G,330.0,-1.9135636470901105e-12,3.4801214076600786e-13,4.956131928468426e-12,3.1073629054766767e-10,8.060154263693354e-14,7.336300689824843e-13,1.4030923647535707e-16,7.049805501939955e-15,0.0,-2.4700145689978005e-14,1.541004266899646e-12,6.349281043587007e-13,-1.2047694067675744e-13,-1.7433471971168273e-12,-8.357149689894426e-11
25170,G,348.0,-4.5473204939549247e-13,3.487606506795493e-14,3.252333464546095e-12,3.561340738076258e-10,2.806383156842468e-14,3.8912022947662033e-13,4.435090759448641e-15,-4.662977391910058e-15,0.0,-1.0370812881923643e-14,4.3562251600966585e-13,1.9048656165191736e-13,1.5998610719931426e-13,-1.198538459359433e-12,-5.17012706243734e-11
25170,G,354.0,6.760988353186226e-13,-5.478885733981783e-13,8.83700845441015e-12,1.1929198240937815e-10,1.5396075475689736e-13,5.490562969342155e-13,1.2861136330727994e-15,2.0815744161232225e-14,0.0,-4.9637003901344494e-14,1.3222330177216451e-12,8.6026920939383e-13,4.0779414856788836e-14,-3.632281614169387e-12,-1.445361722710834e-10
25170,G,372.0,1.6903680996010725e-12,8.007558616031924e-13,6.992777803884375e-12,1.258476034817364e-10,1.0917763461310069e-13,1.0101588744404836e-13,4.88550717345543e-14,1.220712449769792e-16,0.0,1.5885953940114887e-15,-6.851793343177244e-13,-4.413629259510901e-13,3.3089317987200926e-12,-2.8638312443533443e-12,-4.920472594926023e-11
25170,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25170,F,12.0,-0.008397283325908774,1.3275016911440023e-05,-0.004372582993878933,0.008622024886538557,-3.2690906640924355e-08,9.288356032992889e-06,-1.8611891691357876e-05,-5.137868909970703e-06,0.0,-6.212266830792981e-07,1.7782212250425325e-06,0.00029357207526433066,4.1108034501498196e-05,0.0021060401868409784,-0.0045628404603636746
25170,F,18.0,-0.021585556159157318,2.1225900009205425e-05,-0.008581843344093917,0.0243323986699787,-5.2241150328056396e-08,1.8715236521947413e-05,-3.6019076971044036e-05,-1.0822664676715857e-05,0.0,-4.1081199391194665e-06,6.556578396407474e-06,0.0005768587208011679,0.00015113757387941242,0.004154638209007872,-0.009118527961653888
25170,F,36.0,-0.03664998966888215,-0.0007157361205326891,-0.03181393908109907,0.05379394260203259,2.064864550467366e-06,7.385314301282841e-05,-0.00012655767514646005,-5.513102979364695e-05,0.0,-0.0002729380037982166,7.539425319293526e-05,0.0013050414853295453,0.0020848952867721406,0.015792439446229007,-0.03758378114904657
25170,F,42.0,-0.047495537886084814,-0.0020484057445568837,-0.043580035799363884,0.08357946141936595,6.250303043425449e-06,0.00010439345055089544,-0.00016808121095623508,-8.500096853366917e-05,0.0,-0.000469254375630237,0.00014073817088246032,0.002049188236892728,0.004039923839246188,0.02188170879003193,-0.053912990185577776
25170,F,60.0,-0.04555649960440737,-0.013819808334545875,-0.0828389290064514,0.07602447363945727,5.099684298642541e-05,0.00021495361296132445,-0.0002852833619928385,-0.00022282523458505723,0.0,-0.0010614375710636436,0.00045498436149683227,0.002206795854870444,0.01647544868176355,0.04321708551988858,-0.11836943586069842
25170,F,66.0,-0.047031757116957125,-0.02062405435180396,-0.09594963000542385,0.07844403226085998,8.132767105288916e-05,0.0002576207688320628,-0.0003142976302510277,-0.00028150784557477373,0.0,-0.0012829983116545256,0.0005750407935880244,0.0021923897235183796,0.022710862735364608,0.050698631734386816,-0.14300306640728824
25170,F,84.0,-0.051750395488008,-0.04758523485547327,-0.13342023142438175,0.08609033653587644,0.00023669112806338772,0.0003977869690921656,-0.0003627888541549274,-0.00048777732788243816,0.0,-0.0019998714947095644,0.0009482996248391965,0.002139202728405661,0.04466978186974174,0.07325329221315913,-0.22310130499277214
25170,F,108.0,-0.05207263005839481,-0.07369733736438414,-0.17662380363994343,0.08613675409159197,0.00045808847203787894,0.0006422740348818049,-0.0003412872611484204,-0.0007410274977376445,0.0,-0.002767088773005892,0.0012392083668064002,0.002006536669610184,0.06430614595077123,0.09975597801386653,-0.3266602735616532
25170,F,114.0,-0.05038875756665042,-0.0751308036486897,-0.184177581130161,0.08324684036352412,0.0004736536567456886,0.000713329146689888,-0.0003266171412674352,-0.0007789797787411554,0.0,-0.0028611281974560494,0.001244936634982078,0.0019509206870760112,0.06586475023080181,0.10378286076443792,-0.34673936624227236
25170,F,138.0,-0.038111948973920375,-0.06269835593551511,-0.1797246082033587,0.06257084120765613,0.00039361938712456125,0.0009507592254091625,-0.00024187917452948203,-0.0007703076614685895,0.0,-0.0026347973412329255,0.0010476465935317445,0.0015411979400567672,0.05755480895054741,0.09369882318510887,-0.3719318465044347
