strategy,dose_design,sampling_mode,eigenvalue_rank_ascending,fim_eigenvalue_median,fim_eigenvalue_q10,fim_eigenvalue_minimum,watermark,candidate_only_not_for_physical_execution
III_diagonal_2,N76_all_conservative,independent,5,261.8961299774063,248.52966413226412,199.88756778127254,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,6,369.9484995137982,275.82348020244575,225.79640847651214,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,7,985.0847101928211,873.7996067217266,776.90350569581,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,8,1108.405775702895,975.3610649284229,893.5944775852084,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,9,1449.5323654532126,1201.5073302152477,1045.999084410111,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,partially_harmonized,1,0.39499943622263545,0.2698531177479976,0.18750127891141471,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,partially_harmonized,2,4.764086482425405,0.4453687220635012,0.3040217821151421,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,partially_harmonized,3,79.21926658872962,4.483811897766306,0.38653799291637475,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,partially_harmonized,4,231.8113609131419,215.44739844365503,56.18351537669087,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,partially_harmonized,5,258.9059585183121,242.36460939307446,186.70871143509694,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,partially_harmonized,6,368.58627261410004,274.4333388552628,218.39794028878399,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,partially_harmonized,7,968.3031636036076,854.5948012774409,759.3684436684046,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,partially_harmonized,8,1092.7646645116279,973.9302531987096,863.5518233470584,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,partially_harmonized,9,1433.288331313296,1179.627396344564,1026.9017757185968,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
