species,start_index,success,nfev,initial_objective,final_objective,estimate__formation_growth_ug_per_g_sugar,estimate__formation_stationary_ug_per_g_sugar,estimate__effective_loss_scale,forcing_source,fit_scope,estimate__mass_transfer_kla_ref_h_inv,estimate__ethanol_kla_multiplier_per_10_g_l
ethyl_octanoate,8,True,24,1703.100552758679,375.62103023678156,0.1232736238086397,0.5579854973680296,,dynamic_transfer_model,all_data,0.004029660886693466,0.8736360380232734
ethyl_octanoate,9,True,33,14111077.65495653,375.6211319620403,0.12546923702000168,0.5574830273656658,,dynamic_transfer_model,all_data,0.004036169663765065,0.8731379297022928
ethyl_octanoate,7,True,48,5204847127189.583,397.82135988754794,0.13302664179363496,0.5591802658809493,,dynamic_transfer_model,all_data,0.0001478278293791485,2.3836434528612465
ethyl_octanoate,5,True,28,5303831.21865015,402.80313789998934,0.1285489091680035,0.5622654491763504,,dynamic_transfer_model,all_data,6.234785099046045e-05,2.9629563232568006
isoamyl_acetate,7,True,49,65264204790.1678,370.5717788441518,0.4146988130356367,7.077906059458774,,dynamic_transfer_model,all_data,0.0031322268902294744,0.8580300603489883
isoamyl_acetate,11,True,29,903523.8759288687,370.5718099180093,0.4163705660942222,7.077722609006711,,dynamic_transfer_model,all_data,0.003127809044560898,0.85837484729018
isoamyl_acetate,9,True,34,162113.35346156853,370.5718222878003,0.4175273016202103,7.0773785319715,,dynamic_transfer_model,all_data,0.0031336093205870767,0.8577305444303543
isoamyl_acetate,5,True,25,28763.062029472625,370.57185436232277,0.4115136464430798,7.079403985959423,,dynamic_transfer_model,all_data,0.0031273636890380508,0.8584284631728304
isoamyl_acetate,6,True,26,32913886.45900493,370.57193363026255,0.40821079526888115,7.080002710760902,,dynamic_transfer_model,all_data,0.003133633833137197,0.8580065636412206
isoamyl_acetate,3,True,42,160437.6723896592,370.57199487374714,0.40813522148311715,7.080681942556638,,dynamic_transfer_model,all_data,0.0031249184550831304,0.858214182264153
isoamyl_acetate,10,True,31,979.0763135201953,370.57206289595683,0.4184036118308435,7.0772358971599445,,dynamic_transfer_model,all_data,0.0031199869356211382,0.8587578379458498
isoamyl_acetate,4,True,24,1049.282381098722,370.57207228438057,0.40880914395684925,7.079547850468631,,dynamic_transfer_model,all_data,0.0031401878793817354,0.8571066082291026
isoamyl_acetate,0,True,29,576125.2071367612,370.57215836600494,0.40767253962599326,7.0797643401083805,,dynamic_transfer_model,all_data,0.0031344651932768653,0.8584311684991668
isoamyl_acetate,2,True,28,41074.490658761126,370.5722197547683,0.4243547033035534,7.076459431661382,,dynamic_transfer_model,all_data,0.003121769336288884,0.8584990927031163
isoamyl_acetate,1,True,32,40550174680.10254,370.5725664113887,0.43033654879919087,7.073887316573328,,dynamic_transfer_model,all_data,0.003131396304919485,0.8580955990802617
isoamyl_acetate,8,True,39,1039.802675578085,370.5775565246746,0.3737199335751584,7.0890965598404385,,dynamic_transfer_model,all_data,0.0031387555029355825,0.8570715347394163
